event_id,prog_id,event_name,tier,distance,error_type,athlete_id,athlete_full_name,predicted_rank,actual_rank,rank_error,pred_total_sec,actual_total_sec,pred_finish_pct,n_field,event_p10
194205,674176,2025 World Triathlon Cup Rome,2,sprint,false_alarm,64750,,9,14,-5,3446.011463359854,3664.0,0.37898170207241044,47,0.5
194205,674176,2025 World Triathlon Cup Rome,2,sprint,false_alarm,117135,,5,22,-17,3476.4311657389667,3706.0,0.2566362399584964,47,0.5
194205,674176,2025 World Triathlon Cup Rome,2,sprint,false_alarm,83323,,7,33,-26,3499.235188979461,3788.0,0.25056563911050533,47,0.5
194205,674176,2025 World Triathlon Cup Rome,2,sprint,false_alarm,137276,,7,13,-6,3434.7087517699338,3661.0,0.2786410482029569,47,0.5
194205,674176,2025 World Triathlon Cup Rome,2,sprint,false_alarm,80605,,10,20,-10,3467.071858319866,3690.0,0.33462370939938696,47,0.5
194206,673628,2025 World Triathlon Cup Vina del Mar,2,sprint,missed,162136,,22,8,14,3303.275260999928,3004.0,0.34473636306963795,63,0.7
194206,673628,2025 World Triathlon Cup Vina del Mar,2,sprint,missed,33705,,14,9,5,3303.9645842680047,3005.0,0.28621332936932997,63,0.7
194206,673628,2025 World Triathlon Cup Vina del Mar,2,sprint,missed,156380,,11,2,9,3281.1691603677727,2979.0,0.22628620643459216,63,0.7
194206,673628,2025 World Triathlon Cup Vina del Mar,2,sprint,false_alarm,173756,,7,13,-6,3314.683757282186,3013.0,0.21160243910207827,63,0.7
194206,673628,2025 World Triathlon Cup Vina del Mar,2,sprint,false_alarm,63428,,9,11,-2,3298.331930240168,3009.0,0.24499700527039173,63,0.7
194206,673628,2025 World Triathlon Cup Vina del Mar,2,sprint,false_alarm,116279,,4,16,-12,3268.871977600847,3023.0,0.16611205963115958,63,0.7
194206,673629,2025 World Triathlon Cup Vina del Mar,2,sprint,missed,168089,,18,3,15,3570.476130141667,3430.0,0.4966989989231381,34,0.7
194206,673629,2025 World Triathlon Cup Vina del Mar,2,sprint,missed,160574,,26,6,20,3529.562002559916,3466.0,0.7494075629471465,34,0.7
194206,673629,2025 World Triathlon Cup Vina del Mar,2,sprint,missed,119359,,15,8,7,3586.499836472801,3476.0,0.38213714167985147,34,0.7
194206,673629,2025 World Triathlon Cup Vina del Mar,2,sprint,false_alarm,69055,,10,16,-6,3522.1572200664245,3540.0,0.3201737489668741,34,0.7
194206,673629,2025 World Triathlon Cup Vina del Mar,2,sprint,false_alarm,106305,,7,11,-4,3485.8378069529867,3497.0,0.2913189905202113,34,0.7
194206,673629,2025 World Triathlon Cup Vina del Mar,2,sprint,false_alarm,106503,,2,24,-22,3328.079150227527,3606.0,0.13913746996994253,34,0.7
194209,674185,2025 World Triathlon Cup Miyazaki,2,sprint,missed,169633,,11,7,4,3103.7922816542923,3316.0,0.337268812544606,56,0.5
194209,674185,2025 World Triathlon Cup Miyazaki,2,sprint,missed,160772,,25,5,20,3100.6509398746257,3313.0,0.46769256793399444,56,0.5
194209,674185,2025 World Triathlon Cup Miyazaki,2,sprint,missed,41870,,11,4,7,3084.256110826167,3306.0,0.28728255141588416,56,0.5
