==========================================================================================
Bundle: models/bundle_elite_v56.joblib  (version: v1.0)
  106 full features, 64 split features
==========================================================================================
ema_bike_to_t2_pos_change_5                         2.16%
        avg_bike_gap_leader                         2.11%
        p90_swim_gap_leader                         2.06%
      ema_finish_pct_tier34                         2.00%
           ema_finish_pct_3                         1.89%
       std_swim_gap_sec_24m                         1.84%
             n_swim_results                         1.73%
             ema_bike_sec_5                         1.68%
        avg_swim_gap_leader                         1.68%
          athlete_t1t2_rate                         1.62%
     seed_total_gap_to_best                         1.62%
             ema_t1t2_sec_5                         1.57%
             bike_pack_rate                         1.52%
           std_t1t2_sec_24m                         1.46%
           ema_perf_ratio_5                         1.46%
ema_swim_split_pct_tier12_5                         1.46%
           std_bike_pct_24m                         1.46%
            n_races_at_tier                         1.46%
       min_swim_gap_sec_24m                         1.46%
              form_momentum                         1.41%
                 form_trend                         1.30%
           std_swim_sec_24m                         1.30%
            ema_total_sec_5                         1.30%

--- middle_distance_total  (top 40) ---
                    feature middle_distance_total
ema_bike_to_t2_pos_change_5                 9.68%
            swim_form_trend                 4.74%
        avg_swim_gap_leader                 4.74%
              ema_run_sec_5                 4.44%
            ema_total_sec_5                 4.33%
            races_tier1_24m                 3.73%
       ema_bike_split_pct_5                 3.23%
             ema_bike_sec_5                 2.82%
             ema_swim_sec_5                 2.72%
     field_depth_top10_mean                 2.52%
           ema_perf_ratio_5                 2.42%
      ema_swim_behind_sec_5                 2.32%
               ema_t1_sec_5                 2.22%
       days_since_last_race                 2.22%
     ema_swim_behind_sec_12                 2.12%
         ema_distance_match                 2.02%
               ema_t2_sec_5                 1.92%
        ema_run_split_pct_5                 1.92%
      ema_finish_pct_sprint                 1.71%
      ema_swim_split_pct_12                 1.61%
             n_swim_results                 1.61%
           std_t1t2_sec_24m                 1.61%
            std_run_sec_24m                 1.51%
             ema_t1t2_sec_5                 1.51%
     seed_total_gap_to_best                 1.51%
             bike_pack_rate                 1.51%
        p90_swim_gap_leader                 1.41%
            front_pack_rate                 1.41%
       ema_finish_pct_tier2                 1.41%
       ema_finish_pct_tier1                 1.31%
           ema_finish_pct_3                 1.31%
       min_swim_gap_sec_24m                 1.31%
            freshness_curve                 1.31%
          ema_t1_rank_pct_5                 1.21%
          ema_t2_rank_pct_5                 1.21%
          athlete_t1t2_rate                 1.11%
       ema_swim_split_pct_5                 1.11%
ema_bike_split_pct_tier12_5                 1.01%
ema_swim_to_t1_pos_change_5                 1.01%
          std_total_sec_24m                 1.01%

--- sprint_swim  (top 40) ---
                    feature sprint_swim
     field_depth_top10_mean      29.40%
       days_since_last_race       4.46%
             ema_swim_sec_5       3.20%
              ema_run_sec_5       2.97%
            ema_total_sec_5       2.75%
             ema_bike_sec_5       2.35%
